"CELL_ID" "ED_total_4_Vegs" "NumClasses_VEG_All" "Mean_Patch_areaKm2_VEG_All" "VEG_All_1" "VEG_All_2" "VEG_All_3" "VEG_All_4" "VEG_All_5" "VEG_All_6" "VEG_All_7" "VEG_All_8"
100383 0.03075 8 0.0818161436798358 9.86800754242615 1.57133878064111 1.19421747328724 0.754242614707731 1.50848522941546 77.1213073538655 7.29101194217473 0.691389063482087
100384 0.06725 8 0.0318299965028851 8.81057268722467 3.9647577092511 6.10446821900566 2.20264317180617 7.23725613593455 42.7942101950912 26.9351793580868 1.95091252359975
100385 0.04885 8 0.0537150070992337 6.93131695022054 1.89035916824197 5.16698172652804 1.9533711405167 2.89855072463768 63.5160680529301 16.8241965973535 0.819155639571519
100386 0.0598 8 0.0342199627330261 9.09090909090909 5.51724137931035 5.20376175548589 3.82445141065831 5.76802507836991 44.576802507837 24.5141065830721 1.50470219435737
100387 0.05165 8 0.0524507881083243 3.27662255828607 12.3503465658475 2.45746691871456 9.0107120352867 11.9092627599244 46.6288594833018 12.476370510397 1.89035916824197
100388 0.0662 8 0.0310984989583256 7.20151610865445 12.0025268477574 2.90587492103601 13.6449778900821 14.52937460518 31.0802274162982 14.7820593809223 3.85344283006949
100389 0.06615 8 0.032805244353335 2.01005025125628 13.6934673366834 3.64321608040201 18.5929648241206 12.9396984924623 32.7889447236181 14.1959798994975 2.1356783919598
100390 0.0565 8 0.0383046875 16.2688442211055 18.4673366834171 0.0628140703517588 13.0653266331658 11.3065326633166 25.0628140703518 5.77889447236181 9.98743718592965
100391 0.04665 8 0.065149213052338 12.5397835773393 4.13749204328453 1.4640356460853 0.445576066199873 5.21960534691279 61.1075747931254 10.4392106938256 4.64672183322724
100392 0.03905 8 0.0728307291666667 2.70610446821901 2.5802391441158 4.09062303335431 0.881057268722467 5.60100692259283 72.4354940213971 11.2020138451857 0.503461296412838
100393 0.0546 8 0.047088134623086 11.4754098360656 3.65699873896595 8.19672131147541 1.70239596469105 3.97225725094578 52.4590163934426 17.3392181588903 1.19798234552333
100394 0.04295 8 0.0398728354978355 2.95969773299748 3.02267002518892 16.4357682619647 3.02267002518892 3.65239294710327 22.0403022670025 48.4886649874055 0.377833753148615
100395 0.0418 8 0.0404060993830731 2.19711236660389 3.57815442561205 12.1155053358443 1.63214061519146 3.01318267419962 45.2605147520402 31.2617702448211 0.941619585687382
100396 0.04515 8 0.0331067927170868 5.55923229649239 3.44142951687624 14.295168762409 1.25744540039709 2.64725347452019 36.5320979483786 35.2084712111185 1.05890138980807
100397 0.0658 8 0.0174701242910915 4.95626822157434 6.99708454810496 21.9387755102041 3.06122448979592 6.12244897959184 24.7813411078717 29.3731778425656 2.76967930029154
100398 0.0447 8 0.048042343066068 2.9746835443038 4.17721518987342 5.18987341772152 1.70886075949367 4.11392405063291 64.6835443037975 15.8860759493671 1.26582278481013
100399 0.0383 8 0.0438577047952048 5.67567567567568 1.95945945945946 3.44594594594595 1.41891891891892 1.95945945945946 66.4864864864865 18.3108108108108 0.743243243243243
100400 0.03565 8 0.100827722265761 7.76515151515152 3.59848484848485 4.41919191919192 0.252525252525253 1.32575757575758 68.75 12.2474747474747 1.64141414141414
100401 0.0175 7 0.925632509759977 1.89633375474083 0.56890012642225 0.56890012642225 0 0.821744627054361 92.8571428571428 2.59165613147914 0.695322376738306
100402 0.024 8 0.435606026785714 2.06766917293233 2.00501253132832 1.75438596491228 2.44360902255639 0.81453634085213 83.1453634085213 7.45614035087719 0.31328320802005
100403 0.01255 6 0.943215909090909 1.34099616858238 0.191570881226054 0.127713920817369 0.0638569604086845 0 95.7854406130268 2.4904214559387 0
100404 0.03155 8 0.19926398866539 6.68449197860962 1.40374331550802 0.467914438502674 0.53475935828877 0.735294117647059 80.6818181818182 8.35561497326203 1.13636363636364
100405 0.02475 8 0.0801665704937764 1.16504854368932 1.48867313915858 5.11326860841424 1.16504854368932 2.00647249190939 68.284789644013 20.3883495145631 0.388349514563107
100406 0.0443 8 0.0609442224442224 1.37885751805647 1.64149704530532 20.2889034799737 3.28299409061064 3.80827314510834 8.2731451083388 60.9980302035456 0.328299409061064
100407 0.03695 8 0.0412602373275226 1.32827324478178 1.89753320683112 5.31309297912713 5.75585072738773 5.24984187223276 54.5857052498419 25.1739405439595 0.695762175838077
100408 0.0421 8 0.109783371040724 9.17141049968374 6.76786843769766 0.632511068943707 2.71979759645794 5.31309297912713 56.6729917773561 18.3428209993675 0.379506641366224
100409 0.0604 8 0.0241539119201192 4.93827160493827 3.12273057371097 10.3122730573711 1.81554103122731 6.60856935366739 46.2599854756717 25.9259259259259 1.01670297748729
100410 0.06295 8 0.0160450557451061 1.79028132992327 10.3154305200341 17.5618073316283 2.55754475703325 14.5780051150895 26.5132139812447 24.8934356351236 1.79028132992327
100411 0.0405 8 0.0188174485053871 2.43055555555556 4.34027777777778 30.6423611111111 0.78125 1.73611111111111 17.8819444444444 41.1458333333333 1.04166666666667
